codigo,estacion,categoria,departamento,provincia,latitud,longitud,icono,estado,codigo_antiguo
472A32FC,CRISNEJAS,EHA,CAJAMARCA,CAJABAMBA,-7.4639,-78.1131,H,AUTOMATICA,
220201,PUENTE CRISNEJAS,HLM,CAJAMARCA,CAJABAMBA,-7.46354,-78.11313,H,REAL,
107018,ASUNCION,CO,CAJAMARCA,CAJAMARCA,-7.32604,-78.51582,M,REAL,
107028,AUGUSTO WEBERBAUER,MAP,CAJAMARCA,CAJAMARCA,-7.1675,-78.49309,M,REAL,
107033,AYLAMBO,PE,CAJAMARCA,CAJAMARCA,-7.19345,-78.51012,M,DIFERIDO,000316
100037,COSPAN,CO,CAJAMARCA,CAJAMARCA,-7.42857,-78.54106,M,REAL,
107002,GRANJA PORCON,CO,CAJAMARCA,CAJAMARCA,-7.03753,-78.6334,M,REAL,
107016,JESUS,CO,CAJAMARCA,CAJAMARCA,-7.2457,-78.38841,M,REAL,
220205,JESUS TUNEL,HLG,CAJAMARCA,CAJAMARCA,-7.22064,-78.40376,H,REAL,
107093,LA ENCAÑADA,CO,CAJAMARCA,CAJAMARCA,-7.12327,-78.33314,M,REAL,
107035,LA VICTORIA,PE,CAJAMARCA,CAJAMARCA,-7.19119,-78.45947,M,DIFERIDO,000318
107017,MAGDALENA,CO,CAJAMARCA,CAJAMARCA,-7.25346,-78.65261,M,REAL,
220213,MASHCON,HLG,CAJAMARCA,CAJAMARCA,-7.165,-78.47833,H,REAL,
107037,NAMORA,CO,CAJAMARCA,CAJAMARCA,-7.2006,-78.32782,M,REAL,
220206,NAMORA BOCATOMA,HLG,CAJAMARCA,CAJAMARCA,-7.24262,-78.29472,H,REAL,
107005,SAN JUAN,CO,CAJAMARCA,CAJAMARCA,-7.29756,-78.49106,M,REAL,
472645F0,UNC CAJAMARCA,EMA,CAJAMARCA,CAJAMARCA,-7.16747,-78.49307,M,AUTOMATICA,
472501F4,BALSAS,EHMA,CAJAMARCA,CELENDIN,-6.84461,-78.03025,H,AUTOMATICA,
221303,BALZAS,HLM,CAJAMARCA,CELENDIN,-6.84465,-78.03024,H,REAL,
106010,CELENDIN,CO,CAJAMARCA,CELENDIN,-6.85292,-78.14485,M,REAL,
4726631C,CELENDIN,EMA,CAJAMARCA,CELENDIN,-6.85303,-78.14487,M,AUTOMATICA,
106034,CHOTA,CO,CAJAMARCA,CHOTA,-6.54713,-78.64863,M,REAL,
4726C3E4,CHOTA,EMA,CAJAMARCA,CHOTA,-6.55405,-78.67588,M,AUTOMATICA,
106084,CHOTANO LAJAS,PLU,CAJAMARCA,CHOTA,-6.5622,-78.7389,M,DIFERIDO,153235
220611,CHOTANO LAJAS,HLG,CAJAMARCA,CHOTA,-6.55972,-78.74111,H,REAL,
106058,COCHABAMBA,CO,CAJAMARCA,CHOTA,-6.46009,-78.8886,M,REAL,
106054,HUAMBOS,CP,CAJAMARCA,CHOTA,-6.45368,-78.96315,M,REAL,
47E94706,HUAMBOS,EMA,CAJAMARCA,CHOTA,-6.45364,-78.96319,M,AUTOMATICA,
47E35522,LA MUCHALA,EMA,CAJAMARCA,CHOTA,-6.47998,-79.22406,M,AUTOMATICA,
