codigo,estacion,departamento,provincia,modelo,variable,periodo_inicio,periodo_fin,ciclos,horizonte,resolucion,bias,mae,rmse,spearman,n
116079,HUASACACHE,AREQUIPA,AREQUIPA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.01,0.01,0.072,S/D,203
116079,HUASACACHE,AREQUIPA,AREQUIPA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.008,0.011,0.071,0.16,230
116079,HUASACACHE,AREQUIPA,AREQUIPA,mpas15,pp,20260822,20260920,00Z,D1,6h,0.008,0.027,0.148,-0.097,117
116065,LA PAMPILLA,AREQUIPA,AREQUIPA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.0,0.004,0.023,-0.021,232
116065,LA PAMPILLA,AREQUIPA,AREQUIPA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.013,0.015,0.077,-0.019,177
116065,LA PAMPILLA,AREQUIPA,AREQUIPA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.001,0.001,0.014,-0.007,206
116065,LA PAMPILLA,AREQUIPA,AREQUIPA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.0,0.003,0.027,-0.011,232
116065,LA PAMPILLA,AREQUIPA,AREQUIPA,mpas15,pp,20260822,20260920,00Z,D1,6h,0.041,0.044,0.207,-0.088,118
116086,LAS SALINAS,AREQUIPA,AREQUIPA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.148,0.149,0.631,0.316,230
116086,LAS SALINAS,AREQUIPA,AREQUIPA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.109,0.11,0.461,0.384,175
116086,LAS SALINAS,AREQUIPA,AREQUIPA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.032,0.034,0.145,0.328,203
116086,LAS SALINAS,AREQUIPA,AREQUIPA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.065,0.068,0.371,0.292,230
