codigo,estacion,latitud,longitud,2026092000,2026092001
47E292C6,CHUAPALCA,-17.30882,-69.66179,3.6,2.3
47E150D6,PUENTE TALAPALCA,-17.47487,-70.17265,16.0,14.1
47E1B324,REPRESA JARUMAS,-17.3692,-69.94863,0.3,0.1
47E1763A,SALIDA TUNEL KOVIRE,-17.23804,-70.00854,2.5,1.5
47E2D1CC,TARATA,-17.47937,-70.03665,12.7,10.5
47E2A75C,VILACOTA,-17.07909,-70.04302,1.6,0.8
472F13D0,CAÑAVERAL,-3.93905,-80.65055,26.0,26.4
47E01126,CABO INGA H,-3.97873,-80.39938,24.8,24.9
472F00A6,CABO INGA M,-3.97594,-80.40182,24.8,24.9
472EF2D8,CAMPAMENTO SEDE,-3.55115,-80.42962,25.9,25.8
4724A3F6,EL TIGRE,-3.7687,-80.45689,25.8,26.1
472F43AC,HUASIMO,-3.99815,-80.50392,23.6,24.1
47E024BC,PUENTE TUMBES,-3.5709,-80.4609,25.9,25.8
103068,PUERTO PIZARRO,-3.50396,-80.39538,25.5,25.4
472F264A,RICA PLAYA,-3.81333,-80.4575,25.0,25.2
472F353C,MATAPALO,-3.68276,-80.19851,25.9,25.9
47E86310,CALLERIA,-7.89825,-74.49886,30.9,28.0
47E87066,PUERTO ESPERANZA,-9.77083,-70.70666,29.5,26.8
270001,DESAGUADERO,-16.56364,-69.03667,9.2,6.4
101004,GUEPPI,0.1172,-75.2503,24.5,23.7
