codigo,estacion,latitud,longitud,2026092518,2026092600,2026092606,2026092612,2026092618,2026092700,2026092706,2026092712,2026092718,2026092800,2026092806,2026092812,2026092818,2026092900,2026092906,2026092912,2026092918,2026093000,2026093006,2026093012
104114,ALTO DE POCLUS,-4.91691,-79.89052,,,,,,,,,,,,,,,,,,,,
47E9177A,EL CIRUELO,-4.29899,-80.1673,,,,,,,,,,,,,,,,,,,,
47E281B0,HUALCUY,-4.74701,-79.60729,,,,,,,,,,,,,,,,,,,,
472FC5B8,PAIMAS,-4.63439,-79.94581,,,,,,,,,,,,,,,,,,,,
47E0C74E,PUENTE MACARA,-4.39338,-79.96412,,,,,,,,,,,,,,,,,,,,
472FF022,SAPILLICA,-4.79639,-79.99972,,,,,,,,,,,,,,,,,,,,
472F86B2,CANCHAQUE,-5.40055,-79.6052,,,,,,,,,,,,,,,,,,,,
472FE354,HUANCABAMBA,-5.24681,-79.45399,,,,,,,,,,,,,,,,,,,,
472761E6,HUARMACA,-5.56586,-79.52544,,,,,,,,,,,,,,,,,,,,
472FB328,CHALACO,-5.03389,-79.83,,,,,,,,,,,,,,,,,,,,
472F6540,CHULUCANAS,-5.10844,-80.16954,,,,,,,,,,,,,,,,,,,,
47E037CA,CORRAL DEL MEDIO,-5.18871,-79.89148,,,,,,,,,,,,,,,,,,,,
472F50DA,EL VIRREY,-5.53579,-79.98416,,,,,,,,,,,,,,,,,,,,
47E074C0,HACIENDA BARRIOS,-5.2895,-79.69909,,,,,,,,,,,,,,,,,,,,
472F95C4,HACIENDA BIGOTE ,-5.32089,-79.78569,,,,,,,,,,,,,,,,,,,,
472FA05E,MALACASI,-5.33977,-79.85794,,,,,,,,,,,,,,,,,,,,
472F7636,MORROPON,-5.19465,-79.97107,,,,,,,,,,,,,,,,,,,,
47E067B6,SALITRAL,-5.34602,-79.83761,,,,,,,,,,,,,,,,,,,,
47E08444,SAN PEDRO,-5.07954,-80.0162,,,,,,,,,,,,,,,,,,,,
105145,SANTO DOMINGO,-5.03827,-79.87049,,,,,,,,,,,,,,,,,,,,
47E0B1DE,PUENTE SIMON RODRIGUEZ,-4.87999,-81.02038,,,,,,,,,,,,,,,,,,,,
47E0E1A2,BOCATOMA CHIPILLICO,-4.7142,-80.11825,,,,,,,,,,,,,,,,,,,,
47E0F2D4,LAGARTERA,-4.7285,-80.06956,,,,,,,,,,,,,,,,,,,,
105112,MIRAFLORES,-5.17528,-80.61654,,,,,,,,,,,,,,,,,,,,
104113,PARTIDOR,-4.73197,-80.27978,,,,,,,,,,,,,,,,,,,,
105143,SAN MIGUEL,-5.24619,-80.68425,,,,,,,,,,,,,,,,,,,,
47E0522C,TAMBO GRANDE,-4.93848,-80.34703,,,,,,,,,,,,,,,,,,,,
105144,BERNAL,-5.45449,-80.74262,,,,,,,,,,,,,,,,,,,,
